,,,,
DELTA, -1 day, 23:58:45.512597,,
,,,,
Timestamp, Missing requests / 100, Missing queries, Unanswered requests 10.0.6.22, Unanswered queries 10.0.6.22
2023-12-06 13:04:00,0,0,0,0
2023-12-06 17:04:00,0,0,0,1
2023-12-06 21:04:00,0,0,0,0
2023-12-07 01:04:00,0,0,0,0
2023-12-07 05:04:00,0,0,0,0
2023-12-07 09:04:00,0,0,0,0
2023-12-07 13:04:00,0,0,0,0
2023-12-07 17:04:00,0,0,0,0
2023-12-07 21:04:00,0,0,0,0
2023-12-08 01:04:00,0,0,0,0
2023-12-08 05:04:00,0,0,0,0
2023-12-08 09:04:00,0,0,0,0
2023-12-08 13:04:00,8.58,11,3,5
2023-12-08 17:04:00,0,0,0,0
2023-12-08 21:04:00,0,0,0,0
2023-12-09 01:04:00,0,0,0,0
2023-12-09 05:04:00,0,0,0,0
2023-12-09 09:04:00,0,0,0,0
2023-12-09 13:04:00,0,0,0,0
